timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673903152660,298,HTTP Request,200,OK,usersOfW3school 1-85,text,true,,119681,119,8,8,https://www.w3schools.com/,190,0,133
1673903152740,265,HTTP Request,200,OK,usersOfW3school 1-87,text,true,,119681,119,8,8,https://www.w3schools.com/,200,0,138
1673903152820,305,HTTP Request,200,OK,usersOfW3school 1-89,text,true,,119681,119,10,10,https://www.w3schools.com/,197,0,139
1673903152860,285,HTTP Request,200,OK,usersOfW3school 1-90,text,true,,119681,119,10,10,https://www.w3schools.com/,188,0,130
1673903152899,270,HTTP Request,200,OK,usersOfW3school 1-91,text,true,,119681,119,9,9,https://www.w3schools.com/,195,0,135
1673903152980,261,HTTP Request,200,OK,usersOfW3school 1-93,text,true,,119681,119,10,10,https://www.w3schools.com/,198,0,138
1673903152940,307,HTTP Request,200,OK,usersOfW3school 1-92,text,true,,119681,119,9,9,https://www.w3schools.com/,202,0,139
1673903153020,298,HTTP Request,200,OK,usersOfW3school 1-94,text,true,,119681,119,9,9,https://www.w3schools.com/,197,0,137
1673903153059,266,HTTP Request,200,OK,usersOfW3school 1-95,text,true,,119681,119,8,8,https://www.w3schools.com/,202,0,142
1673903153100,256,HTTP Request,200,OK,usersOfW3school 1-96,text,true,,119681,119,7,7,https://www.w3schools.com/,193,0,133
1673903153139,304,HTTP Request,200,OK,usersOfW3school 1-97,text,true,,119681,119,6,6,https://www.w3schools.com/,198,0,138
1673903153179,304,HTTP Request,200,OK,usersOfW3school 1-98,text,true,,119681,119,5,5,https://www.w3schools.com/,199,0,138
1673903153219,264,HTTP Request,200,OK,usersOfW3school 1-99,text,true,,119681,119,5,5,https://www.w3schools.com/,201,0,142
1673903153258,259,HTTP Request,200,OK,usersOfW3school 1-100,text,true,,119681,119,3,3,https://www.w3schools.com/,195,0,135
1673903152700,3489,HTTP Request,200,OK,usersOfW3school 1-86,text,true,,119681,119,2,2,https://www.w3schools.com/,3371,0,3200
1673903152781,3501,HTTP Request,200,OK,usersOfW3school 1-88,text,true,,119681,119,1,1,https://www.w3schools.com/,3380,0,3203
